778,759,602
735,575,656
423,702,398
611,879,694
958,703,814
379,626,972
5,480,449
966,850,792
791,422,294
975,143,486
122,627,659
878,893,835
562,611,106
47,837,974
233,544,528
190,889,471
973,338,965
398,779,422
83,916,771
27,474,727
843,27,636
343,799,213
793,22,950
503,800,95
477,267,174
686,498,991
410,157,455
168,137,216
466,276,280
884,393,357
265,662,168
226,376,985
346,360,419
453,515,558
131,67,969
421,27,111
834,109,361
393,82,978
118,634,414
198,60,42
662,458,177
847,5,791
112,88,794
720,396,13
428,58,386
325,103,405
774,258,265
340,83,460
16,647,762
869,425,11
380,434,426
308,570,918
992,342,864
311,124,85
944,797,232
806,438,380
232,300,434
314,47,655
560,718,81
298,365,432
880,2,683
74,297,882
535,214,989
803,999,507
521,767,696
100,583,984
474,341,981
218,234,665
967,348,237
668,172,513
985,8,692
963,245,113
609,946,827
865,421,465
785,843,109
862,885,590
464,519,284
533,200,492
776,334,188
79,376,627
273,785,6
445,852,680
557,50,577
288,343,261
233,305,853
967,455,783
715,962,808
857,162,451
100,653,41
429,451,269
991,374,341
97,973,614
408,808,303
249,727,283
280,832,960
457,107,754
965,324,426
993,537,851
489,919,333
514,371,503
